"filename", "language", "JavaScript", "XML", "CSS", "comment", "blank", "total"
"c:\Users\mikol\Desktop\studia\PracaInżynierska\travelify\travelify\src\components\albumPhotos\assets\emojiIcon.svg", "XML", 0, 3, 0, 0, 1, 4
"c:\Users\mikol\Desktop\studia\PracaInżynierska\travelify\travelify\src\components\albumPhotos\assets\leftArrowIcon.svg", "XML", 0, 11, 0, 0, 1, 12
"c:\Users\mikol\Desktop\studia\PracaInżynierska\travelify\travelify\src\components\albumPhotos\assets\rightArrowIcon.svg", "XML", 0, 3, 0, 0, 1, 4
"c:\Users\mikol\Desktop\studia\PracaInżynierska\travelify\travelify\src\components\albumPhotos\assets\sendIcon.svg", "XML", 0, 10, 0, 0, 1, 11
"c:\Users\mikol\Desktop\studia\PracaInżynierska\travelify\travelify\src\components\albumPhotos\assets\tagIcon.svg", "XML", 0, 10, 0, 0, 1, 11
"c:\Users\mikol\Desktop\studia\PracaInżynierska\travelify\travelify\src\components\albumPhotos\assets\tagWhiteIcon.svg", "XML", 0, 10, 0, 0, 1, 11
"c:\Users\mikol\Desktop\studia\PracaInżynierska\travelify\travelify\src\components\albumPhotos\styles\commentEmojiPicker.css", "CSS", 0, 0, 234, 45, 54, 333
"c:\Users\mikol\Desktop\studia\PracaInżynierska\travelify\travelify\src\components\albumPhotos\styles\photosScrollbar.css", "CSS", 0, 0, 32, 0, 10, 42
"c:\Users\mikol\Desktop\studia\PracaInżynierska\travelify\travelify\src\components\albums\AlbumGrid.js", "JavaScript", 246, 0, 0, 3, 12, 261
"c:\Users\mikol\Desktop\studia\PracaInżynierska\travelify\travelify\src\components\albums\AlbumInside.js", "JavaScript", 553, 0, 0, 4, 29, 586
"c:\Users\mikol\Desktop\studia\PracaInżynierska\travelify\travelify\src\components\albums\AlbumThumbnail.js", "JavaScript", 257, 0, 0, 0, 16, 273
"c:\Users\mikol\Desktop\studia\PracaInżynierska\travelify\travelify\src\components\albums\AlbumsPage.js", "JavaScript", 270, 0, 0, 2, 15, 287
"c:\Users\mikol\Desktop\studia\PracaInżynierska\travelify\travelify\src\components\albums\ShareBox.js", "JavaScript", 220, 0, 0, 4, 18, 242
"c:\Users\mikol\Desktop\studia\PracaInżynierska\travelify\travelify\src\components\albums\ShareFriendThumbnail.js", "JavaScript", 187, 0, 0, 2, 10, 199
"c:\Users\mikol\Desktop\studia\PracaInżynierska\travelify\travelify\src\components\albums\albumsScrollbar.css", "CSS", 0, 0, 18, 0, 2, 20
"c:\Users\mikol\Desktop\studia\PracaInżynierska\travelify\travelify\src\components\albums\assets\addAlbumIcon.svg", "XML", 0, 3, 0, 0, 1, 4
"c:\Users\mikol\Desktop\studia\PracaInżynierska\travelify\travelify\src\components\albums\assets\closeIcon.svg", "XML", 0, 4, 0, 0, 1, 5
"c:\Users\mikol\Desktop\studia\PracaInżynierska\travelify\travelify\src\components\albums\assets\descriptionIcon.svg", "XML", 0, 3, 0, 0, 1, 4
"c:\Users\mikol\Desktop\studia\PracaInżynierska\travelify\travelify\src\components\albums\assets\editIcon.svg", "XML", 0, 10, 0, 0, 1, 11
"c:\Users\mikol\Desktop\studia\PracaInżynierska\travelify\travelify\src\components\albums\assets\localizationIcon.svg", "XML", 0, 5, 0, 0, 1, 6
"c:\Users\mikol\Desktop\studia\PracaInżynierska\travelify\travelify\src\components\albums\assets\privateAlbumBlueIcon.svg", "XML", 0, 3, 0, 0, 1, 4
"c:\Users\mikol\Desktop\studia\PracaInżynierska\travelify\travelify\src\components\albums\assets\privateAlbumIcon.svg", "XML", 0, 3, 0, 0, 1, 4
"c:\Users\mikol\Desktop\studia\PracaInżynierska\travelify\travelify\src\components\albums\assets\publicAlbumBlueIcon.svg", "XML", 0, 3, 0, 0, 1, 4
"c:\Users\mikol\Desktop\studia\PracaInżynierska\travelify\travelify\src\components\albums\assets\publicAlbumIcon.svg", "XML", 0, 3, 0, 0, 1, 4
"c:\Users\mikol\Desktop\studia\PracaInżynierska\travelify\travelify\src\components\albums\assets\shareIcon.svg", "XML", 0, 3, 0, 0, 1, 4
"c:\Users\mikol\Desktop\studia\PracaInżynierska\travelify\travelify\src\components\albums\assets\sharedAlbumIcon.svg", "XML", 0, 3, 0, 0, 1, 4
"c:\Users\mikol\Desktop\studia\PracaInżynierska\travelify\travelify\src\components\editProfile\CountriesForm.js", "JavaScript", 255, 0, 0, 27, 25, 307
"c:\Users\mikol\Desktop\studia\PracaInżynierska\travelify\travelify\src\components\editProfile\CountrySelect.js", "JavaScript", 128, 0, 0, 7, 17, 152
"c:\Users\mikol\Desktop\studia\PracaInżynierska\travelify\travelify\src\components\editProfile\DeleteAcountForm.js", "JavaScript", 54, 0, 0, 0, 7, 61
"c:\Users\mikol\Desktop\studia\PracaInżynierska\travelify\travelify\src\components\editProfile\DescriptionForm.js", "JavaScript", 183, 0, 0, 0, 11, 194
"c:\Users\mikol\Desktop\studia\PracaInżynierska\travelify\travelify\src\components\editProfile\EditProfilePage.js", "JavaScript", 307, 0, 0, 0, 17, 324
"c:\Users\mikol\Desktop\studia\PracaInżynierska\travelify\travelify\src\components\editProfile\PasswordForm.js", "JavaScript", 235, 0, 0, 3, 27, 265
"c:\Users\mikol\Desktop\studia\PracaInżynierska\travelify\travelify\src\components\editProfile\PersonalInfoForm.js", "JavaScript", 453, 0, 0, 5, 21, 479
"c:\Users\mikol\Desktop\studia\PracaInżynierska\travelify\travelify\src\components\editProfile\PhotoChange.js", "JavaScript", 279, 0, 0, 5, 19, 303
"c:\Users\mikol\Desktop\studia\PracaInżynierska\travelify\travelify\src\components\editProfile\assets\addIcon.svg", "XML", 0, 3, 0, 0, 1, 4
"c:\Users\mikol\Desktop\studia\PracaInżynierska\travelify\travelify\src\components\editProfile\assets\changePasswordIcon.svg", "XML", 0, 4, 0, 0, 1, 5
"c:\Users\mikol\Desktop\studia\PracaInżynierska\travelify\travelify\src\components\editProfile\assets\closeIcon.svg", "XML", 0, 3, 0, 0, 1, 4
"c:\Users\mikol\Desktop\studia\PracaInżynierska\travelify\travelify\src\components\editProfile\assets\countriesIcon.svg", "XML", 0, 15, 0, 0, 1, 16
"c:\Users\mikol\Desktop\studia\PracaInżynierska\travelify\travelify\src\components\editProfile\assets\deleteAccountIcon.svg", "XML", 0, 4, 0, 0, 1, 5
"c:\Users\mikol\Desktop\studia\PracaInżynierska\travelify\travelify\src\components\editProfile\assets\descriptionIcon.svg", "XML", 0, 3, 0, 0, 1, 4
"c:\Users\mikol\Desktop\studia\PracaInżynierska\travelify\travelify\src\components\editProfile\assets\interestsIcon.svg", "XML", 0, 10, 0, 0, 1, 11
"c:\Users\mikol\Desktop\studia\PracaInżynierska\travelify\travelify\src\components\editProfile\assets\personalInfoIcon.svg", "XML", 0, 11, 0, 0, 1, 12
"c:\Users\mikol\Desktop\studia\PracaInżynierska\travelify\travelify\src\components\googleMaps\Map.js", "JavaScript", 183, 0, 0, 3, 12, 198
"c:\Users\mikol\Desktop\studia\PracaInżynierska\travelify\travelify\src\components\googleMaps\MapStyle.js", "JavaScript", 284, 0, 0, 1, 1, 286
"c:\Users\mikol\Desktop\studia\PracaInżynierska\travelify\travelify\src\components\googleMaps\MarkerInfo.js", "JavaScript", 143, 0, 0, 1, 12, 156
"c:\Users\mikol\Desktop\studia\PracaInżynierska\travelify\travelify\src\components\googleMaps\styles\markerInfo.css", "CSS", 0, 0, 7, 0, 2, 9
"c:\Users\mikol\Desktop\studia\PracaInżynierska\travelify\travelify\src\components\groupAlbumCreator\BasicInfo.js", "JavaScript", 337, 0, 0, 1, 18, 356
"c:\Users\mikol\Desktop\studia\PracaInżynierska\travelify\travelify\src\components\groupAlbumCreator\ChangeOwner.js", "JavaScript", 116, 0, 0, 0, 10, 126
"c:\Users\mikol\Desktop\studia\PracaInżynierska\travelify\travelify\src\components\groupAlbumCreator\GroupAlbumCreatorPage.js", "JavaScript", 549, 0, 0, 8, 32, 589
"c:\Users\mikol\Desktop\studia\PracaInżynierska\travelify\travelify\src\components\groupAlbumCreator\Localization.js", "JavaScript", 430, 0, 0, 2, 23, 455
"c:\Users\mikol\Desktop\studia\PracaInżynierska\travelify\travelify\src\components\groupAlbumCreator\Photos.js", "JavaScript", 712, 0, 0, 6, 51, 769
"c:\Users\mikol\Desktop\studia\PracaInżynierska\travelify\travelify\src\components\groupAlbumCreator\assets\addIcon.svg", "XML", 0, 3, 0, 0, 1, 4
"c:\Users\mikol\Desktop\studia\PracaInżynierska\travelify\travelify\src\components\groupAlbumCreator\assets\closeIcon.svg", "XML", 0, 3, 0, 0, 1, 4
"c:\Users\mikol\Desktop\studia\PracaInżynierska\travelify\travelify\src\components\groupAlbumCreator\assets\crownIcon.svg", "XML", 0, 7, 0, 0, 1, 8
"c:\Users\mikol\Desktop\studia\PracaInżynierska\travelify\travelify\src\components\groupAlbumCreator\assets\deleteAlbumIcon.svg", "XML", 0, 4, 0, 0, 1, 5
"c:\Users\mikol\Desktop\studia\PracaInżynierska\travelify\travelify\src\components\groupAlbumCreator\assets\deleteWhiteIcon.svg", "XML", 0, 4, 0, 0, 1, 5
"c:\Users\mikol\Desktop\studia\PracaInżynierska\travelify\travelify\src\components\groupAlbumCreator\assets\imageNotFoundIcon.svg", "XML", 0, 10, 0, 0, 1, 11
"c:\Users\mikol\Desktop\studia\PracaInżynierska\travelify\travelify\src\components\groupAlbumCreator\assets\infoIcon.svg", "XML", 0, 5, 0, 0, 1, 6
"c:\Users\mikol\Desktop\studia\PracaInżynierska\travelify\travelify\src\components\groupAlbumCreator\assets\localizationIcon.svg", "XML", 0, 5, 0, 0, 1, 6
"c:\Users\mikol\Desktop\studia\PracaInżynierska\travelify\travelify\src\components\groupAlbumCreator\assets\photoIcon.svg", "XML", 0, 5, 0, 0, 1, 6
"c:\Users\mikol\Desktop\studia\PracaInżynierska\travelify\travelify\src\components\groupAlbumCreator\assets\privateAlbumIcon.svg", "XML", 0, 3, 0, 0, 1, 4
"c:\Users\mikol\Desktop\studia\PracaInżynierska\travelify\travelify\src\components\groupAlbumCreator\assets\publicAlbumIcon.svg", "XML", 0, 3, 0, 0, 1, 4
